Key,說明,zh-tw,zh-cn,en-us,th-th,ko-kr,my-mm,id-id,vi-vn,ja-jp,ms-my,es-es,lo-lao
player,TH-2064,閒家,閑家,Player,ผู้เล่น,플레이어,ပေလရာ,Pemain,Nhà con,プレイヤー,player,Jugador,ຜູ້ຫຼິ້ນ
tie,TH-2065,和家,和家,Tie,เสมอ,타이,သေရ,Seri,Nhà Hòa,タイ,seri,Empate,ອອກເກມ
league_name,TH-2066,聯賽名稱,联赛名称,League Name,ชื่อลีก,리그 명칭,ပြိုင်ပွဲအမည်,Nama liga,Tên giải đấu,リーグ名,Nama league,nombre de la liga,ຊື່ລີກ
home_team,TH-2067,主場球隊,主场球队,Home Team,ทีมเจ้าบ้าน,홈 팀,အိမ်ကွင်းဘောလုံးအသင်း,Tim tuan rumah,Đội sân chủ,ホームチーム,Pasukan tuan rumah,equipo local,ທີມເຈົ້າບ້ານ
away_team,TH-2068,客場球隊,客场球队,Away Team,ทีมเยือน,원정팀,အဝေးကွင်းဘောလုံးအသင်း,Tim tamu,Đội sân khách,アウエイチーム,Pasukan pelawat,equipo visitante,ທີມເຍືອນ
player_pair,TH-2069,閒對對,闲对对,Player’s Pair,ผู้เล่นคู่,플레이어 페어,ပေလရာစံုဖဲ,Pasangan pemain,Nhà con đôi,プライヤー･ぺア,player pair,Doble par de jugador,ຜູ້ຫຼິ້ນຄູ່
banker_pair,TH-2070,莊對對,庄对对,Banker’s Pair,เจ้ามือคู่,뱅커 페어,ဒိုင္စံုဖဲ,Bandar pasangan,Lá đôi của Nhà cái,バンカーぺア,banker pair,Doble par de banca,ໄພ້ຄູ່ເຈົ້າມື
banker_insurance,TH-2071,莊保險,庄保险,Banker Insurance,เจ้ามือประกันภัย,뱅커 보험,ဒိုင္အာမခံ,Asuransi Bandar,Bảo hiểm Nhà cái,バンカー インス,banker insuran,Seguro de banca,ເຈົ້າມືປະກັນໄພ
player_Insurance,TH-2072,閒保險,闲保险,Player Insurance,ผู้เล่นประกันภัย,플레이어 보험,ပေလရာအာမခံ,Asuransi Pemain,Bảo hiểm Nhà con,プレイヤー･インス,player insuran,Seguro de jugador,ຜູ້ຫຼິ້ນປະກັນໄພ
banker_no_comm,TH-2073,莊家(免傭),庄家(免佣),Banker(No comm),เจ้ามือ(ไม่มีค่าคอม),뱅커(무수수료),ဒိုင္(ပွဲခမလို),Bandar(Non komisi),Nhà cái(Miễn phí),バンカー(手数料なし),banker(no Commission),Banquero (sin comisión),ເຈົ້າມື (ບໍ່ມີຄ່າຄອມ)
smallness,TH-2074,小,小,Smallness,เล็ก,소,ေသး,Kecil,Nhỏ,小,Kecil,Pequeño,ໜ້ອຍ
bigness,TH-2075,大,大,Bigness,ใหญ่,대,ႀကီး,Besar,Lớn,大,Besar,Grande,ໃຫຍ່
odd,TH-2076,單,单,Odd,คี่,홀,မ,Tunggal (Ganjil),Đơn,シングル,Genap,Simple,ຄີກ
even,TH-2077,雙,双,Even,คู่,짝,စံု,Genap,Đôi,偶数,Ganjil,Par,ຄູ່
red,TH-2078,紅,红,Red,แดง,레드,အနီ,Merah,Đỏ,紅,merah,Rojo,ແດງ
black,TH-2079,黑,黑,Black,ดำ,블랙,အမဲ,Hitam,Đen,ブラック,hitam,Negro,ດຳ
all_triple,TH-2080,豹子,豹子,All Triple,ตอง,트리플,က်ားသစ္,Semua rangkap tiga,Cả ba súc sắc,オートリプル,Raffles,Leopardo,ເສືອດາວ
regular,TH-2081,直走,直走,Regular,เดินตรง,직진,တိုက်ရိုက်နည်း,Langsung,Cược đặt chỗ,直走,luruskan,Línea recta,ເດີນກົງ
multiple,TH-2082,本注,本注,Multiple,เดิมพันเดิม,본주,ဒေသဆိုင်ရာနည်း,Taruhan kali ini,Cược Tố,本注,bet ini,Apuesta actual,ເດີມພັນເດີມ
hit_the_pillar,TH-2083,撞柱,撞柱,Hit the Pillar,ชนเสา,골대 맞다,ထပ်တူ,Nilai sama,Sút Trúng Khung Thành,バンプ,Kena tiang,Golpe en la columna,ຕຳເສົາ
hit_the_goals,TH-2084,射中龍門,射中龙门,Hit the Goals,ยิงเข้าเป้า,슛 골인,အလယ်မှတ်တူ,Gol,Sút vào Lưới,射龍門 あたり,Goal,Tiro en el pórtico,ຍິງເຂົ້າເປົ້າ
miss_the_goals,TH-2085,不中,不中,Miss the Goals,ไม่เข้าเป้า,노 골,မတူ,Tidak gol,Không Sút Trúng,ハズレ,Tak kena,Fuera,ບໍ່ເຂົ້າເປົ້າ
1_lo,TH-2086,1低,1低,1 Lo,ต่ำ 1,1 낮음,1နိမ့်,1 rendah,1 Thấp,1 低い,1 rendah,1 Bajo,ຕ່ຳ 1
3_lo,TH-2087,3低,3低,3 Lo,ต่ำ 3,3 낮음,3နိမ့်,3 rendah,3 Thấp,3 低い,3 rendah,3 Bajo,ຕ່ຳ 3
3_white_1_red,TH-2088,3白1紅,3白1红,3 White 1 Red,3ขาว 1แดง,3 White 1 Red,3 White 1 Red,3 White 1 Red,3 White 1 Red,3 White 1 Red,3 putih 1 merah,3 blancos 1 rojo,3ຂາວ 1ແດງ
3_red_1white,TH-2089,3紅1白,3红1白,3 Red 1White,3แดง 1ขาว,3 Red 1White,3 Red 1White,3 Red 1White,3 Red 1White,3 Red 1White,3 merah 1 putih,3 rojos 1 blanco,3ແດງ 1ຂາວ
4_white,TH-2090,4白,4白,4 white,ขาว4,4 white,4 white,4 white,4 white,4 white,4 putih,4 blancos,ຂາວ4
4_red,TH-2091,4紅,4红,4 Red,4แดง,4 Red,4 Red,4 Red,4 Red,4 Red,4 merah,4 rojos,4ແດງ
4_hi,TH-2092,4高,4高,4 Hi,สูง 4,4 높음,4ြမှင့်,4 tinggi,4 Cao,4 高い,4 tinggi,4 Alto,ສູງ 4
5_lo,TH-2093,5低,5低,5 Lo,ต่ำ 5,5 낮음,5နိမ့်,5 rendah,5 Thấp,5 低い,5 rendah,5 Bajo,ຕ່ຳ 5
6_lo,TH-2094,6低,6低,6 Lo,ต่ำ 6,6 낮음,6နိမ့်,6 rendah,6 Thấp,6 低い,6 rendah,6 Bajo,ຕ່ຳ 6
6_hi,TH-2095,6高,6高,6 Hi,สูง 6,6 높음,6ြမှင့်,6 tinggi,6 Cao,6 高い,6 tinggi,6 Alto,ສູງ 6
dice_1,TH-2096,骰 1,骰 1,Dice 1,ไฮโล 1,주사위 1,အံဇာတံုး 1,Dadu 1,Xúc xắc 1,サイコロ 1,Jumlah 1,1 dado,ໄຮໂລ 1
dice_2,TH-2097,骰 2,骰 2,Dice 2,ไฮโล 2,주사위 2,အံဇာတံုး 2,Dadu 2,Xúc xắc 2,サイコロ 2,Jumlah 2,2 dado,ໄຮໂລ 2
dice_3,TH-2098,骰 3,骰 3,Dice 3,ไฮโล 3,주사위 3,အံဇာတံုး 3,Dadu 3,Xúc xắc 3,サイコロ 3,Jumlah 3,3 dado,ໄຮໂລ 3
dice_4,TH-2099,骰 4,骰 4,Dice 4,ไฮโล 4,주사위 4,အံဇာတံုး 4,Dadu 4,Xúc xắc 4,サイコロ 4,Jumlah 4,4 dado,ໄຮໂລ 4
dice_5,TH-2100,骰 5,骰 5,Dice 5,ไฮโล 5,주사위 5,အံဇာတံုး 5,Dadu 5,Xúc xắc 5,サイコロ 5,Jumlah 5,5 dado,ໄຮໂລ 5
dice_6,TH-2101,骰 6,骰 6,Dice 6,ไฮโล 6,주사위 6,အံဇာတံုး 6,Dadu 6,Xúc xắc 6,サイコロ 6,Jumlah 6,6 dado,ໄຮໂລ 6
hi,TH-2102,高,高,Hi,สูง,높음,ြမှင့်,Tinggi,Cao,高い,Tinggi,Alto,ສູງ
lo,TH-2103,低,低,Lo,ต่ำ,낮음,နိမ့်,Rendah,Thấp,低い,Rendah,Bajo,ຕ່ຳ
point,TH-2104,點,点,Point,แต้ม,포인트,မွတ္,Poin,Điểm,ポイント,markah,Puntos,ແຕ້ມ
dragon_ranking,TH-2105,龍榜,龙榜,Dragon Ranking,ตารางมังกร,Dragon Ranking,Dragon Ranking,Dragon Ranking,Dragon Ranking,Dragon Ranking,Dragon List,Dragon List,Dragon List
tiger_ranking,TH-2106,虎榜,虎榜,Tiger Ranking,ตารางเสือ,Tiger Ranking,Tiger Ranking,Tiger Ranking,Tiger Ranking,Tiger Ranking,Tiger List,Tiger List,Tiger List
zhong_jilong_wang,TH-2107,終極龍王,终极龙王,ราชามังกรอัลติเมท,ราชามังกรอัลติเมท,ราชามังกรอัลติเมท,ราชามังกรอัลติเมท,ราชามังกรอัลติเมท,ราชามังกรอัลติเมท,ราชามังกรอัลติเมท,ราชามังกรอัลติเมท,ราชามังกรอัลติเมท,ราชามังกรอัลติเมท
jiu_ji_hu_ba,TH-2108,究極虎霸,究极虎霸,ราชาเสืออัลติเมท,ราชาเสืออัลติเมท,ราชาเสืออัลติเมท,ราชาเสืออัลติเมท,ราชาเสืออัลติเมท,ราชาเสืออัลติเมท,ราชาเสืออัลติเมท,ราชาเสืออัลติเมท,ราชาเสืออัลติเมท,ราชาเสืออัลติเมท
cai_shen_bang,TH-2109,財神榜,财神榜,อันดับความมั่งคั่ง,อันดับความมั่งคั่ง,อันดับความมั่งคั่ง,อันดับความมั่งคั่ง,อันดับความมั่งคั่ง,อันดับความมั่งคั่ง,อันดับความมั่งคั่ง,อันดับความมั่งคั่ง,อันดับความมั่งคั่ง,อันดับความมั่งคั่ง
lie_long_bang,TH-2110,獵龍榜,猎龙榜,อันดับล่ามังกร,อันดับล่ามังกร,อันดับล่ามังกร,อันดับล่ามังกร,อันดับล่ามังกร,อันดับล่ามังกร,อันดับล่ามังกร,อันดับล่ามังกร,อันดับล่ามังกร,อันดับล่ามังกร
bu_yu_wang,TH-2111,捕魚王,捕鱼王,ราชานักจับปลา,ราชานักจับปลา,ราชานักจับปลา,ราชานักจับปลา,ราชานักจับปลา,ราชานักจับปลา,ราชานักจับปลา,ราชานักจับปลา,ราชานักจับปลา,ราชานักจับปลา
footer_menu,TH-2112,選單,选单,Menu,เมนู,메뉴,မင္နူး,Pilih menu,Bảng chọn,メニュー,senarai,Menú,ເມນູ
G_Name_PPRoom,TH-2113,PP,PP,PP,,,,,,,,,
PP_vs20procount,TH-2114,雅典娜的智慧,雅典娜的智慧,Wisdom of Athena,วิสดอม ออฟ เอเธน่า,,,,,,,,
PP_vs20fruitsw,TH-2115,甜入心扉,甜入心扉,Sweet Bonanza,สวีตโบนันซ่า,,,,,,,,
PP_vs20olympgate,TH-2116,奧林匹斯之門,奥林匹斯之门,Gates of Olympus,ประตูแห่งโอลิมปัส,,,,,,,,
PP_vs20sugarrush,TH-2117,極速糖果,极速糖果,Sugar Rush,ซูก้า รัช,,,,,,,,
PP_vs40wildwest,TH-2118,西部牛仔黃金地段,西部牛仔黄金地段,Wild West Gold,ไวลด์เวสต์โกลด์,,,,,,,,
PP_vs20sbxmas,TH-2119,甜心盛宴聖誕,甜心盛宴圣诞,Sweet Bonanza Xmas,สวีตโบนันซ่า คริสต์มาส,,,,,,,,
PP_vs20bonzgold,TH-2120,黃金富礦,黄金富矿,Bonanza Gold,โบนันซ่าโกลด์,,,,,,,,
PP_vs20starlight,TH-2121,星光公主,星光公主,Starlight Princess,สตาร์ไลท์ ปริ๊นเซส,,,,,,,,
PP_vswaysdogs,TH-2122,汪汪之家Megaways,汪汪之家Megaways,The Dog House Megaways,ด็อกเฮาส์ Megaways,,,,,,,,
PP_vs5aztecgems,TH-2123,古時代寶石,古时代宝石,Aztec Gems,เพชรแอสเท็ค,,,,,,,,
PP_vs20cleocatra,TH-2124,埃及神貓,埃及神猫,Cleocatra,คลีโอคาตรา,,,,,,,,
PP_vswaysstrwild,TH-2125,糖果星星,糖果星星,Candy Stars,แคนดี้ สตาร์,,,,,,,,
PP_vswayswildwest,TH-2126,西部牛仔黃金地段 Megaways,西部牛仔黄金地段 Megaways,Wild West Gold Megaways,ไวด์ เวส โกลด์ เมก้าเวย์ส,,,,,,,,
PP_vs20pbonanza,TH-2127,瘋狂金字塔,疯狂金字塔,Pyramid Bonanza,ปิรามิด โบนันซ่า,,,,,,,,
PP_vswayszombcarn,TH-2128,喪屍嘉年華,丧尸嘉年华,Zombie Carnival,ซอมบี้ คานิวัล,,,,,,,,
PP_vs20porbs,TH-2129,聖誕節驚喜禮物,圣诞惊喜礼物,Santa's Great Gifts,ซานต้าส์ เกรส กิ๊ฟท์,,,,,,,,
PP_vs10txbigbass,TH-2130,大鱸魚濺水,大鲈鱼溅水,Big Bass Splash,บิ๊ก บาส สแปลช,,,,,,,,
PP_vs10firestrike,TH-2131,紅火暴擊,红火暴击,Fire Strike,เพลิงจู่โจม,,,,,,,,
PP_vs1dragon8,TH-2132,發發發龍,发发发龙,888 Dragons,มังกร 888,,,,,,,,
PP_vs12bbb,TH-2133,超大鱸魚暴風雨 - 聖誕魚獲,超级大鲈鱼暴风雨 - 圣诞鱼获,Bigger Bass Bonanza,บิ๊กเกอร์ บาส โบนันซ่า,,,,,,,,
PP_vswayslions,TH-2134,5金獅 Megaways,5金狮 Megaways,5 Lions Megaways,5 สิงห์เมก้าเวย์ส™,,,,,,,,
PP_vs15godsofwar,TH-2135,宙斯vs哈迪斯-眾神之戰,宙斯vs哈迪斯-众神之战,Zeus vs Hades - Gods of War,ซุส เวอร์เซิส ฮาเดส - ก็อด ออฟ วอร์,,,,,,,,
PP_vs20midas,TH-2136,邁達斯之手,迈达斯之手,The Hand of Midas,หัตถ์แห่งไมดาส,,,,,,,,
PP_vs20schristmas,TH-2137,星光聖誕系列,星光圣诞系列,Starlight Christmas,สตาร์ไลท์ คริสต์มาส,,,,,,,,
PP_vswaysrhino,TH-2138,巨大犀牛 Megaways,巨大犀牛 Megaways,Great Rhino Megaways,เกรตไรโน Megaways,,,,,,,,
PP_vs20cashmachine,TH-2139,現金寶箱,现金宝箱,Cash Box,แคช บ๊อก,,,,,,,,
PP_vs50jucier,TH-2140,海怪的高額賞金,海怪的高额赏金,Sky Bounty,คราเค่น สกาย เบาว์ตี้,,,,,,,,
PP_vs25jokrace,TH-2141,小丑賽跑,小丑赛跑,Joker Race,โจ๊กเกอร์ เรส,,,,,,,,
PP_vs243nudge4gold,TH-2142,野蠻惡魔,野蛮恶魔,Hellvis Wild,เฮลวิสไวลด์,,,,,,,,
PP_vs10bbextreme,TH-2143,瘋狂大鱸魚 亞馬遜極限,疯狂大鲈鱼 亚马逊极限,Big Bass Amazon Xtreme,บิ๊กเบส อเมซอน เอ็กซ์ตรีม,,,,,,,,
PP_vs20hstgldngt,TH-2144,金塊大劫案,金块大劫案,Heist for the Golden Nuggets,ฮีท ฟอร์ เดอะ โกลเด้น นักเก็ต,,,,,,,,
G_Name_FCRoom,TH-2145,FC,FC,FC,,,,,,,,,
FC_22016,TH-2146,金錢豹,金钱豹,GOLDEN PANTHER,เสือดาวเงินทอง,,,,Báo Kim Tiền,,,,
FC_22018,TH-2147,逛夜市,逛夜市,NIGHT MARKET,ไนท์มาร์เก็ต,,,,Dạo Chơi Phố Đêm,,,,
FC_22020,TH-2148,大過年,大过年,CHINESE NEW YEAR,ปีตรุษจีน,,,,Cuối Năm,,,,
FC_22021,TH-2149,碰碰胡,碰碰胡,PONG PONG HU,พ่อง พ่อง หู,,,,Bính Bính Hồ,,,,
FC_22022,TH-2150,錦鯉躍錢,锦鲤跃钱,FORTUNE KOI,คาร์ปนำโชค,,,,Cá Chép Tiền Tài,,,,
FC_22024,TH-2151,龜兔賽車,龟兔赛车,ANIMAL RACING,เต่ากระต่ายเรซซิ่ง,,,,Rùa Thỏ Đua Xe,,,,
FC_22028,TH-2152,尋寶奇航,寻宝奇航,TREASURE CRUISE,เรือล่าสมบัติ,,,,Căng Buồm Tầm Bảo,,,,
FC_22029,TH-2153,西部風雲,西部风云,COWBOYS,ลมตะวันตก,,,,Tây Bộ Phong Vân,,,,
FC_22030,TH-2154,豪華金錢豹,豪华金钱豹,LUXURY GOLDEN PANTHER,เสือดาวทองสุดหรู,,,,Báo Kim Tiền Xa Hoa,,,,
FC_22034,TH-2155,淘金樂,淘金乐,GOLD RUSH,โกลด์รัช,,,,Kiếm Tiền Vui,,,,
FC_22036,TH-2156,富貴大亨,富贵大亨,RICH ＭAN,มหาเศรษฐี,,,,Ông Trùm Phú Quý,,,,
FC_22037,TH-2157,巨海覓寶,巨海觅宝,GRAND BLUE,ล่าสมบัติมหาสมุทร,,,,Tầm Bảo Biển Lớn,,,,
FC_22039,TH-2158,羅賓漢,罗宾汉,ROBIN HOOD,โรบินฮู้ด,,,,Robin Hood,,,,
FC_22040,TH-2159,財富連連,财富连连,LUCKY FORTUNES,ลัคกี้ฟอร์จูนส์,,,,Của Cài Dồi Dào,,,,
FC_22041,TH-2160,大過年2,大过年2,CHINESE NEW YEAR 2,ปีตรุษจีน 2,,,,Cuối Năm 2,,,,
FC_22042,TH-2161,古墓秘寶,古墓秘宝,TREASURE RAIDERS,ขุมทรัพย์โบราณ,,,,Bí Bảo Cổ Mộ,,,,
FC_22043,TH-2162,蜜糖爆擊,蜜糖爆击,SUGAR BANG BANG,ซูการ์ แบง แบง,,,,Bạo Kích Đường Mật,,,,
FC_22045,TH-2163,合成與魔法,合成与魔法,MERGE MAGIC,เวทมนตร์ผสาน,,,,Ma Thuật Ghép,,,,
FC_22047,TH-2164,神燈金靈,神灯金灵,GOLDEN GENIE,จินนี่ทองคำ,,,,Kim Linh Thần Đèn,,,,
FC_22048,TH-2165,瘋狂野牛,疯狂野牛,CRAZY BUFFALO,เครซี่ บัฟฟาโล่,,,,Trâu Hoang Điên Cuồng,,,,
FC_22049,TH-2166,宙斯,宙斯,ZEUS,ซุส,,,,ZEUS,,,,
FC_22050,TH-2167,喵財進寶,喵财进宝,WIN WIN NEKO,แมวกวักทรัพย,,,,Mèo Tài Tầm Bảo,,,,
FC_22051,TH-2168,財富金蛋,财富金蛋,FORTUNE EGG,ไข่ทองคำนำโชค,,,,Trứng Vàng,,,,
FC_21003,TH-2169,大聖捕魚,大圣捕鱼,MONKEY KING FISHING,ตกปลามหาเทพ,,,,Đại Thánh Bắt Cá,,,,
FC_21004,TH-2170,寶船捕魚,宝船捕鱼,BAO CHUAN FISHING,ตกปลาเรือสมบัติ,,,,Thuyền Quý Bắt Cá,,,,
FC_21006,TH-2171,激鬥捕魚,激斗捕鱼,FIERCE FISHING,ศึกเดือดตกปลา,,,,Bắt Cá Kịch Tính,,,,
FC_21008,TH-2172,星際捕魚,星际捕鱼,STAR HUNTER,ตกปลาดารกะ,,,,Bắt Cá Vũ Trụ,,,,
FC_27001,TH-2173,錢樹推幣機,钱树推币机,MONEY TREE DOZER,เกมดันเหรียญ คางคกทอง,,,,Máy Ủi Cây Tiền,,,,
FC_27002,TH-2174,馬戲團推幣機,马戏团推币机,CIRCUS DOZER,ตู้ดันเหรียญละครสัตว์,,,,Máy Ủi Gánh Xiếc,,,,
FC_27003,TH-2175,發財推幣機,发财推币机,FA CHAI DOZER,อาแปะดันเหรียญ,,,,Máy Ủi Của Cải,,,,
FC_27005,TH-2176,一觸即發,一触即发,LIGHTNING BOMB,ระเบิดสายฟ้าฟาด,,,,Hồi Hộp Kịch Tính,,,,
FC_27007,TH-2177,多彩骰寶,多彩骰宝,Super Color Game,เกมซุปเปอร์คัลเลอร์,,,,Game màu siêu cấp,,,,
changePWDView_1,TH-2178,請輸入舊密碼,请输入旧密码,Enter the old password,กรุณาใส่รหัสเก่า,이전 비밀번호를 입력하세요,စကားဝှက်ဟောင်းကို ထည့်ပါ။,Silakan masukkan kata sandi lama,Vui lòng nhập mật khẩu cũ,古いパスワードを入力してください,sila masukan kata laluan lama,ingresar la contraseña anterior,ກະລຸນາໃສ່ລະຫັດເກົ່າ
changePWDView_2,TH-2179,請輸入新密碼,请输入新密码,Enter the new password,กรุณาใส่รหัสใหม่,새 비밀번호를 입력하세요,စကားဝှက်အသစ်ကို ထည့်ပါ။,Silakan masukkan kata sandi baru,Vui lòng nhập mật khẩu mới,新しいパスワードを入力してください,sila masukan kata laluan baru,ingresar la nueva contraseña,ກະລຸນາໃສ່ລະຫັດໃໝ່
changePWDView_3,TH-2180,再次確認新密碼,再次确认新密码,Confirm the new password again,ยืนยันรหัสใหม่อีกครั้ง,새 비밀번호를 다시 확인하세요,စကားဝှက်အသစ်ကို ထပ်မံအတည်ပြုပါ။,Konfirmasi kata sandi baru,Xác nhận lại mật khẩu mới,新しいパスワードを確認してください,pastikan kata laluan baru lagi,confirmar la nueva contraseña,ຢັ້ງຢືນລະຫັດໃໝ່ອີກຄັ້ງ
The_result_of_showdown,TH-2181,開牌結果,开牌结果,The result of showdown,ผลลัพธ์การเปิดไพ่,결과 열기,ဖဲဖွင့်ရလဒ်,Buka hasil,Kết thúc mở bài,カードドローの結果,Keputusan membuka kad,Resultado de apertura,ຜົນລັບການເປີດໄພ້
betTime,TH-2182,下注時間,下注时间,Betting time,เวลาที่วางเดิมพัน,베팅 시간,လောင်းကြေးချချိန်,Waku Taruhan,Thời gian đặt cược,ベット時間,Masa pertaruhan,Hora de apuestas,ເວລາທີ່ເດີມພັນ
resultTime,TH-2183,結算時間,结算时间,calculation time,เวลาคำนวน,결제 시간,တွက်ချက်ချိန်,Waktu perhitungan,Thời gian kết toán,決算の時間,masa perhitungan,tiempo de liquidación,ເວລາຄຳນວນ
refreshBox_1,TH-2184,秒後,秒后,sec later,วินาทีต่อมา,초 후,စက္ကန့်ပိုင်းေနာက်,Beberapa detik kemudian,Vài giây sau,秒後,selepas saat,segundos más tarde,ວິນາທີຕໍ່ມາ
serial_no,TH-2185,編號,编号,Serial No.,หมายเลข,번호,နံပါတ္စဥ္,Nomor seri,Mã số,ナンバー,Nombor,Numeración,ຈຳນວນ
reportView_1,TH-2186,實投量,实投量,Actual betting amount,จำนวนเดิมพันจริง,실제 베팅액,အစစ်မှန်ရင်းနှီးမြှုပ်နှံမှုပမာဏ,taruhan aktual,lượng đặt cược thực tế,実際の投資額,pertaruhan sebenar,Cantidad de apuesta real,ຈຳນວນເດີມພັນຈິງ
reportView_2,TH-2187,總實投量,总实投量,Total actual betting amount,เดิมพันจริงทั้งหมด,총 실제 베팅액,စုစုပေါင်းအစစ်မှန်ရင်းနှီးမြှုပ်နှံမှုပမာဏ,jumlah taruhan aktual,Tổng lượng đặt cược thực tế,実際の合計投資額,jumlah pertaruhan sebenar,Cantidad real total de apuestas,
reportView_3,TH-2188,單號,单号,Single Number/Number 1,เลขเดียว,홀수,နံပါတ္တစ္ခုတည္း,Nomor tunggal,Số đơn,シングルナンバー,Nombor tunggal,Número impar,ເລກດຽວ
reportView_4,TH-2189,退水,退水,Commission ,ค่าคอมมิชชั่น,이득 반환,ေကာ္မရွင္,Komisi,Tiền hòa hồng,コミッション,pembayaran balik,Reembolso,ຄ່າຄອມມິດຊັ່ນ
inMaintain,TH-2190,維護中,维护中,In maintenance,ปรับปรุงอยู่,보수중,ဂိမ်းထိန်းသိမ်းနေသည်။,Sedang diperlihara,Đang bảo trì,メンテナンス中,Dalam penelenggaran,En mantenimiento,ປັບປຸງຢູ່
table_number,TH-2191,桌號,桌号,Number,หมาดเลขโต๊ะ,테이블 번호,စားပြဲနံပါတ္,Nomor meja,Số bàn chơi,テーブルナンバー,Nombor meja,Número de mesa,ເລກໂຕະ
MG_SMG_ancientFortunesPoseidonMegaways,TH-2192,古代財富 Poseidon Megaways™,古代财富 Poseidon Megaways™,Ancient Fortunes : Poseidon Megaways™,,,,,,,,,
MG_SMG_luckyTwins,TH-2193,幸運雙星,幸运双星,Lucky Twins,,,,,,,,,
MG_SMG_luckyTwinsWilds,TH-2194,幸運雙星百搭,幸运双星百搭,Lucky Twins Wilds,,,,,,,,,
MG_SMG_squealinRiches,TH-2195,喝采的旺財,喝彩的旺财,Squealin' Riches,,,,,,,,,
MG_SMG_candyRushWilds,TH-2196,歡樂糖果百搭,欢乐糖果百搭,Candy Rush Wilds,,,,,,,,,
MG_SMG_wolfBlazeMegaways,TH-2197,烈焰戰狼 Megaways,烈焰战狼 Megaways,Wolf Blaze Megaways,,,,,,,,,
MG_SMG_fireAndRosesJoker,TH-2198,火焰與玫瑰小丑,火焰与玫瑰小丑,Fire and Roses : Joker,,,,,,,,,
MG_SMG_mastersOfOlympus,TH-2199,奧林匹斯山之主,奥林匹斯山之主,Masters of Olympus,,,,,,,,,
MG_SMG_tigersIce,TH-2200,冰雪猛虎,冰雪猛虎,Tiger's Ice,,,,,,,,,
MG_SMG_bisonMoon,TH-2201,野牛圓月,野牛圆月,Bison Moon,,,,,,,,,
MG_SMG_happyLuckyCats,TH-2202,快樂招財貓,快乐招财猫,Happy Lucky Cats,,,,,,,,,
MG_SMG_maskOfAmun,TH-2203,阿蒙的面具,阿蒙的面具,Mask of Amun,,,,,,,,,
MG_SMG_africaXUP,TH-2204,非洲 X UP™,非洲 X UP™,Africa X UP™,,,,,,,,,
MG_SMG_breakAwayDeluxe,TH-2205,冰球突破豪華版,冰球突破豪华版,Break Away Deluxe,,,,,,,,,
MG_SMG_blazingMammoth,TH-2206,熾熱猛獁象,炽热猛犸象,Blazing Mammoth,,,,,,,,,
MG_SMG_basketballStar,TH-2207,籃球巨星,篮球巨星,Basketball Star,,,,,,,,,
MG_SMG_10000Wishes,TH-2208,10000個願望,10000个愿望,10000 Wishes,,,,,,,,,
MG_SMG_breakAway,TH-2209,冰球突破,冰球突破,Break Away,,,,,,,,,
MG_SMG_hyperStar,TH-2210,超級 星星,超级 星星,Hyper Star,,,,,,,,,
MG_SMG_dragonDance,TH-2211,舞龍,舞龙,Dragon Dance,,,,,,,,,
MG_SMG_9masksOfFire,TH-2212,9個烈焰面具,9个烈焰面具,9 Masks of Fire,,,,,,,,,
MG_SMG_queenofAlexandria,TH-2213,亞歷山大女王,亚历山大女王,Queen of Alexandria™,,,,,,,,,
MG_SMG_bookOfMrsClaus,TH-2214,圣诞老婆婆之书,圣诞老婆婆之书,Book of Mrs Claus,,,,,,,,,
MG_SMG_ancientFortunesZeus,TH-2215,Zeus古代財富,Zeus古代财富,Ancient Fortunes: Zeus,,,,,,,,,
MG_SMG_arcticEnchantress,TH-2216,北極女巫,北极女巫,Arctic Enchantress™,,,,,,,,,
MG_SMG_purePlatinum,TH-2217,完美白金,完美白金,Pure Platinum,,,,,,,,,
MG_SMG_bookOfOzLockNSpin,TH-2218,Oz之書鎖定並旋轉,Oz之书锁定并旋转,Book of Oz - Lock 'N Spin,,,,,,,,,
MG_SMG_9masksOfFireHyperSpins,TH-2219,9 個烈焰面具 HyperSpins™,9 个烈焰面具 HyperSpins™,9 Masks of Fire™ HyperSpins™,,,,,,,,,
MG_SMG_amazingLinkZeus,TH-2220,神奇連環宙斯,神奇连环宙斯,Amazing Link Zeus,,,,,,,,,
MG_SMG_chroniclesOfOlympusXUP,TH-2221,奧林匹斯編年史 X UP,奥林匹斯编年史 X UP,Chronicles of Olympus X Up,,,,,,,,,
MG_SMG_catClans,TH-2222,猫咪部落,猫咪部落,Cat Clans,,,,,,,,,
MG_SMG_immortalRomance,TH-2223,不朽情緣,不朽情缘,Immortal Romance,,,,,,,,,
MG_SMG_assassinMoon,TH-2224,刺客之月,刺客之月,Assassin Moon,,,,,,,,,
MG_SMG_breakDaBankAgainMegaways,TH-2225,再搶銀行 MEGAWAYS™,再抢银行 MEGAWAYS™,Break Da Bank Again™ MEGAWAYS™,,,,,,,,,
MG_SMG_breakAwayLuckyWilds,TH-2226,冰球突破幸運百搭,冰球突破幸运百搭,Break Away Lucky Wilds,,,,,,,,,
MG_SMG_thunderstruckWildLightning,TH-2227,雷霆萬鈞之百搭閃電,雷霆万钧之百搭闪电,Thunderstruck Wild Lightning,,,,,,,,,
MG_SMG_augustus,TH-2228,奧古斯都,奥古斯都,Augustus,,,,,,,,,
